subject_id,stage,n_adaptation_sessions,valid_accuracy,valid_balanced_accuracy,valid_f1_weighted,valid_f1_macro,valid_f1_micro,valid_mcc,valid_cohen_kappa
75,0,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,1,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,2,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,3,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,4,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,5,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,6,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
75,7,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
44,0,1,0.8344594594594594,0.5087837837837837,0.76439177026325,0.47432133666775395,0.8344594594594594,0.0874969664576884,0.028634361233480066
105,0,1,0.8385416666666666,0.515625,0.7698351031684365,0.4861434861434861,0.8385416666666666,0.1617962004226434,0.05102040816326525
169,0,1,0.8425925925925926,0.5322222222222223,0.781893565178481,0.5186206751895628,0.8425925925925926,0.2123246276831115,0.10211267605633789
169,1,1,0.8703703703703703,0.62,0.8372743452834986,0.6567505720823799,0.8703703703703703,0.4340185399533709,0.339622641509434
169,2,1,0.8870370370370371,0.71,0.8737603758336543,0.7512065801101218,0.8870370370370371,0.5352261012224728,0.5080645161290323
189,0,1,0.818939393939394,0.5061342592592593,0.7416740298640171,0.4643111844652281,0.818939393939394,0.070345498822437,0.019761372110365327
230,0,1,0.8326190476190476,0.5001428571428571,0.7576744593293057,0.45573942737063305,0.8326190476190476,0.003087905585642198,0.0004739336492889379
7,0,1,0.8333333333333334,0.5,0.7575757575757576,0.45454545454545453,0.8333333333333334,0.0,0.0
7,1,1,0.8350694444444444,0.5177083333333333,0.7708096168025643,0.49355373124658714,0.8350694444444444,0.12046441224329604,0.056291390728476776
7,2,1,0.8263888888888888,0.5333333333333333,0.7781638964473439,0.5279152870209487,0.8263888888888888,0.1296279799784942,0.09638554216867468
247,0,1,0.8203389830508474,0.5236284001844168,0.7540234287720642,0.5009416195856874,0.8203389830508474,0.1415747206804472,0.07293210791580185
247,1,1,0.8203389830508474,0.5092592592592593,0.742674135622021,0.4686491079014444,0.8203389830508474,0.12320773568460336,0.029906310107340017
260,0,1,0.8328877005347594,0.5031974317817014,0.7594704768008224,0.4622202538780534,0.8328877005347594,0.0462004176264349,0.010540128682695604
260,1,1,0.839572192513369,0.5327897271268058,0.7810866329336021,0.5210347698021387,0.839572192513369,0.18721967298388267,0.10216656330645968
260,2,1,0.8275401069518716,0.5671332263242376,0.7941789783000255,0.5784147955906833,0.8275401069518716,0.20440753737591233,0.17811999591155336
260,3,1,0.8315508021390374,0.547158908507223,0.7867083750314654,0.5491389207807118,0.8315508021390374,0.17654374929230937,0.13484734436101264
271,0,1,0.8675,0.470189701897019,0.8570481927710842,0.464524765729585,0.8675,-0.06992510132040458,-0.0687638636821939
304,0,1,0.5325,0.5274609843937574,0.5005383453599598,0.497902332606142,0.5325,0.06361922456036093,0.05546014748964545
350,0,1,0.73,0.52375,0.711827820455844,0.5238397562059551,0.73,0.05443344047433234,0.05329593267882182
387,0,1,0.465625,0.5104166666666666,0.49605386028858034,0.4505527607916378,0.465625,0.018304705803888204,0.014409221902017322
439,0,1,0.509375,0.509375,0.40314820314820315,0.40314820314820315,0.509375,0.03493335058437492,0.018750000000000044
493,0,1,0.5333333333333333,0.5333333333333333,0.4444444444444444,0.4444444444444444,0.5333333333333333,0.1111111111111111,0.06666666666666665
