criterion,splitter,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,ccp_alpha,fitness_score,generation
entropy,best,log2,25,6,6,7,0.01850704256287909,0.0,0.7401654683344824,20
entropy,best,,26,8,5,12,0.034018954945166095,0.0,0.7907613513247316,21
entropy,best,,23,6,6,7,0.01850704256287909,0.0,0.8019994090416626,21
entropy,best,,25,6,6,7,0.021522800591184638,0.0,0.8019994090416626,21
entropy,best,,25,8,5,5,0.01850704256287909,0.0,0.7992022062444597,21
entropy,best,,25,6,6,7,0.01850704256287909,0.006622244444769476,0.8019994090416626,21
entropy,best,,25,7,5,6,0.01850704256287909,0.0,0.8019994090416626,21
entropy,random,,25,6,5,7,0.01850704256287909,0.0,0.7977740569289866,21
entropy,best,,25,6,5,5,0.01850704256287909,0.006622244444769476,0.7992022062444597,22
entropy,best,,25,6,5,6,0.01850704256287909,0.0,0.8019994090416626,22
entropy,best,,24,7,5,6,0.01850704256287909,0.006622244444769476,0.8019994090416626,22
entropy,best,,25,6,6,7,0.011396306497063542,0.006622244444769476,0.7962966610853935,22
entropy,best,,25,8,5,6,0.01850704256287909,0.0,0.8019994090416626,22
entropy,best,sqrt,23,7,5,10,0.01850704256287909,0.0,0.662917364325815,22
entropy,random,,25,8,5,5,0.01850704256287909,0.006622244444769476,0.7907613513247316,23
entropy,best,,25,6,5,7,0.05451181243209445,0.0,0.7907613513247316,23
entropy,best,,25,8,6,5,0.008710177776468916,0.006622244444769476,0.7992022062444597,23
entropy,best,,25,8,5,6,0.05052752063648458,0.0,0.7907613513247316,23
entropy,best,,25,7,7,12,0.01650370174372224,0.006622244444769476,0.8089727174234216,23
entropy,best,sqrt,25,8,5,6,0.01850704256287909,0.02774512087798204,0.6671427164384911,23
gini,best,,25,6,6,7,0.01850704256287909,0.0,0.7907613513247316,24
entropy,random,,25,7,7,12,0.01650370174372224,0.0,0.7977740569289866,24
entropy,best,,25,5,6,7,0.01850704256287909,0.006622244444769476,0.8019994090416626,24
entropy,best,sqrt,25,7,7,6,0.01850704256287909,0.0,0.662917364325815,24
entropy,best,,25,7,7,7,0.01850704256287909,0.0,0.8019994090416626,24
